Time[s],Deformation[in]
251.75,-0.195862148
252,3.25663E-15
252.25,0.195807813
252.5,0.276875748
252.75,0.195753673
253,-2.70756E-16
253.25,-0.195699725
253.5,-0.276723162
253.75,-0.195645971
254,-2.71183E-15
254.25,0.195592409
254.5,0.276571665
254.75,0.195539038
255,5.69116E-15
255.25,-0.195485858
255.5,-0.276421248
255.75,-0.195432868
256,-8.66727E-15
256.25,0.195380067
256.5,0.276271905
256.75,0.195327455
257,1.16402E-14
257.25,-0.195275031
257.5,-0.276123627
257.75,-0.195222794
258,-1.461E-14
258.25,0.195170744
258.5,0.275976408
258.75,0.19511888
259,1.75766E-14
259.25,-0.195067202
259.5,-0.275830238
259.75,-0.195015708
260,-2.05402E-14
260.25,0.194964398
260.5,0.275685111
260.75,0.194913271
261,2.35007E-14
261.25,-0.194862327
261.5,-0.27554102
261.75,-0.194811566
262,4.85903E-15
262.25,0.194760985
262.5,0.275397957
262.75,0.194710586
263,-1.88831E-15
263.25,-0.194660366
263.5,-0.275255914
263.75,-0.194610326
264,-1.07933E-15
264.25,0.194560465
264.5,0.275114885
264.75,0.194510781
265,4.04395E-15
265.25,-0.194461276
265.5,-0.274974862
265.75,-0.194411947
266,-7.00555E-15
266.25,0.194362795
266.5,0.274835838
266.75,0.194313818
267,9.96419E-15
267.25,-0.194265017
267.5,-0.274697806
267.75,-0.194216389
268,-1.29199E-14
268.25,0.194167936
268.5,0.274560758
268.75,0.194119655
269,1.58727E-14
269.25,-0.194071548
269.5,-0.274424689
269.75,-0.194023612
270,-1.88226E-14
270.25,0.193975847
270.5,0.27428959
270.75,0.193928253
271,2.17696E-14
271.25,-0.193880829
271.5,-0.274155455
271.75,-0.193833575
272,6.4464E-15
272.25,0.19378649
272.5,0.274022277
272.75,0.193739572
273,-3.48985E-15
273.25,-0.193692823
273.5,-0.273890049
273.75,-0.19364624
274,5.36167E-16
274.25,0.193599824
274.5,0.273758764
274.75,0.193553574
275,2.41468E-15
275.25,-0.193507489
275.5,-0.273628416
275.75,-0.193461569
276,-5.36273E-15
276.25,0.193415813
276.5,0.273498998
276.75,0.193370221
277,8.30801E-15
277.25,-0.193324791
277.5,-0.273370504
277.75,-0.193279524
278,-1.12505E-14
278.25,0.193234418
278.5,0.273242926
278.75,0.193189474
279,1.41904E-14
279.25,-0.19314469
279.5,-0.273116258
279.75,-0.193100066
280,-1.71275E-14
280.25,0.193055602
280.5,0.272990494
280.75,0.193011297
281,2.0062E-14
281.25,-0.19296715
281.5,-0.272865628
281.75,-0.192923161
282,-2.29938E-14
282.25,0.192879329
282.5,0.272741652
282.75,0.192835653
283,-5.07703E-15
283.25,-0.192792134
283.5,-0.27261856
283.75,-0.19274877
284,2.1364E-15
284.25,0.192705561
284.5,0.272496347
284.75,0.192662507
285,8.01589E-16
285.25,-0.192619606
285.5,-0.272375006
285.75,-0.192576859
286,-3.73696E-15
286.25,0.192534265
286.5,0.27225453
286.75,0.192491822
287,6.66975E-15
287.25,-0.192449532
287.5,-0.272134914
287.75,-0.192407392
288,-9.59998E-15
288.25,0.192365404
288.5,0.272016152
288.75,0.192323565
289,1.25277E-14
289.25,-0.192281875
289.5,-0.271898236
289.75,-0.192240335
290,-1.54529E-14
290.25,0.192198943
290.5,0.271781162
290.75,0.192157699
291,1.83756E-14
291.25,-0.192116603
291.5,-0.271664923
291.75,-0.192075653
292,-2.12959E-14
292.25,0.19203485
292.5,0.271549514
292.75,0.191994192
293,2.42137E-14
293.25,-0.19195368
293.5,-0.271434928
293.75,-0.191913312
294,3.72293E-15
294.25,0.191873089
294.5,0.271321159
294.75,0.19183301
295,-7.96967E-16
295.25,-0.191793073
295.5,-0.271208202
295.75,-0.19175328
296,-2.12656E-15
296.25,0.191713629
296.5,0.271096051
296.75,0.191674119
297,5.04768E-15
297.25,-0.19163475
297.5,-0.2709847
297.75,-0.191595523
298,-7.9664E-15
298.25,0.191556435
298.5,0.270874144
298.75,0.191517487
299,1.08828E-14
299.25,-0.191478679
299.5,-0.270764376
299.75,-0.191440008
300,-1.37968E-14
300.25,0.191401477
300.5,0.270655391
300.75,0.191363083
301,1.67085E-14
301.25,-0.191324826
301.5,-0.270547184
301.75,-0.191286705
302,-1.9618E-14
302.25,0.191248721
302.5,0.270439749
302.75,0.191210873
303,2.25251E-14
303.25,-0.19117316
303.5,-0.27033308
303.75,-0.191135582
304,-2.54301E-14
304.25,0.191098138
304.5,0.270227173
304.75,0.191060828
305,-2.38247E-15
305.25,-0.191023651
305.5,-0.270122021
305.75,-0.190986607
306,-5.29986E-16
306.25,0.190949696
306.5,0.270017619
306.75,0.190912916
307,3.44019E-15
307.25,-0.190876268
307.5,-0.269913962
307.75,-0.190839751
308,-6.34817E-15
308.25,0.190803364
308.5,0.269811045
308.75,0.190767107
309,9.25394E-15
309.25,-0.19073098
309.5,-0.269708861
309.75,-0.190694982
310,-1.21575E-14
310.25,0.190659112
310.5,0.269607407
310.75,0.190623371
311,1.5059E-14
311.25,-0.190587758
311.5,-0.269506677
311.75,-0.190552272
312,-1.79583E-14
312.25,0.190516912
312.5,0.269406665
312.75,0.190481679
313,2.08555E-14
313.25,-0.190446572
313.5,-0.269307367
313.75,-0.19041159
314,-2.37506E-14
314.25,0.190376734
314.5,0.269208777
314.75,0.190342001
315,-3.95625E-15
315.25,-0.190307394
315.5,-0.269110891
315.75,-0.190272909
316,1.05415E-15
316.25,0.190238548
316.5,0.269013703
316.75,0.19020431
317,1.84585E-15
317.25,-0.190170194
317.5,-0.268917208
317.75,-0.1901362
318,-4.74378E-15
318.25,0.190102327
318.5,0.268821402
318.75,0.190068576
319,7.63965E-15
319.25,-0.190034945
319.5,-0.26872628
319.75,-0.190001434
320,-1.05335E-14
320.25,0.189968043
320.5,0.268631836
320.75,0.189934772
321,1.34253E-14
321.25,-0.189901619
321.5,-0.268538065
321.75,-0.189868585
322,-1.63152E-14
322.25,0.189835669
322.5,0.268444964
322.75,0.18980287
323,1.9203E-14
323.25,-0.189770189
323.5,-0.268352527
323.75,-0.189737624
324,-2.2089E-14
324.25,0.189705176
324.5,0.26826075
324.75,0.189672844
325,2.4973E-14
325.25,-0.189640627
325.5,-0.268169627
325.75,-0.189608525
326,-2.78551E-14
326.25,0.189576539
326.5,0.268079155
326.75,0.189544666
327,2.63345E-16
327.25,-0.189512907
327.5,-0.267989327
327.75,-0.189481262
328,-3.36137E-14
328.25,0.18944973
328.5,0.267900141
328.75,0.189418311
329,6.03849E-15
329.25,-0.189387004
329.5,-0.267811591
329.75,-0.189355809
330,-3.93649E-14
330.25,0.189324725
330.5,0.267723673
330.75,0.189293752
331,1.18061E-14
